Label,GIF,LabelFull,Supra/Infra,CSF/Corte,LR,LobesNoLR,LobesLR,SubLobes
RH Medial Orbito Frontal,125 187 141 77,2014,Supra Tentorial,Cortex,Cortex Right,Frontal Lobe,,Vmpfc
RH Middle Temporal,155,2015,Supra Tentorial,Cortex,Cortex Right,Temporal Lobe,,Lateral Temporal
RH Parahippocampal,171,2016,Supra Tentorial,Cortex,Cortex Right,Temporal Lobe,,Medial Temporal
RH Paracentral,149 151,2017,Supra Tentorial,Cortex,Cortex Right,Parietal Lobe,,Sensory
RH Pars opercularis,163 119,2018,Supra Tentorial,Cortex,Cortex Right,Frontal Lobe,,Opercular
RH Pars orbitalis,105 137,2019,Supra Tentorial,Cortex,Cortex Right,Frontal Lobe,,Orbitofrontal
RH Pars triangularis,205 165,2020,Supra Tentorial,Cortex,Cortex Right,Frontal Lobe,,Dlpfc
RH Pericalcarine,109,2021,Supra Tentorial,Cortex,Cortex Right,Frontal Lobe,,Medial Occipital
RH PostCentral,177,2022,Supra Tentorial,Cortex,Cortex Right,Parietal Lobe,,Sensory
RH Posterior Cingulate,139,2023,Supra Tentorial,Cortex,Cortex Right,Cingulate,,Middle
RH Precentral,183,2024,Supra Tentorial,Cortex,Cortex Right,Frontal Lobe,,Motor
RH Precuneus,169,2025,Supra Tentorial,Cortex,Cortex Right,Parietal Lobe,,Medial Parietal
RH Rostral Anterior Cingulate,101,2026,Supra Tentorial,Cortex,Cortex Right,Cingulate,,Anterior
RH Rostral Middle Frontal,143,2027,Supra Tentorial,Cortex,Cortex Right,Frontal Lobe,,Dlpfc
RH Superior Frontal,191 193  153,2028,Supra Tentorial,Cortex,Cortex Right,Frontal Lobe,,Vmpfc / Motor
RH Superior Parietal,197 199,2029,Supra Tentorial,Cortex,Cortex Right,Parietal Lobe,,Lateral Parietal
RH Superior temporal,181 185 201,2030,Supra Tentorial,Cortex,Cortex Right,Temporal Lobe,,Supratemp
RH Supramarginal,195,2031,Supra Tentorial,Cortex,Cortex Right,Parietal Lobe,,Lateral Parietal
RH Frontal pole,121,2032,Supra Tentorial,Cortex,Cortex Right,Frontal Lobe,,Frontal Pole
RH temporal pole,203,2033,Supra Tentorial,Cortex,Cortex Right,Temporal Lobe,,Temporal Pole
RH transverse temporal,207,2034,Supra Tentorial,Cortex,Cortex Right,Temporal Lobe,,Supratemp
RH Insula,103  113 173 175,2035,Supra Tentorial,Cortex,Cortex Right,Insula,,Posterior
