Name,Label_Full,1 - Supra/Infra Tentorial,Label_1,2 - CSF/Cortex/BasalGanglia/WM,Label_2,3- L/R,Label_3,34-Lobes,Label_34,4- Lobes,Label_4,5- Sub-Lobes,Label_5,6 - All
Left Alns anterior insula,104,1,Supra Tentorial,4,Cortex,6,Cortex Left,17,Insula,26,Left Insula,51,Anterior,58
Right AOrG anterior orbital gyrus,105,1,Supra Tentorial,4,Cortex,5,Cortex Right,18,Frontal Lobe,15,Right Frontal Lobe,15,Orbitofrontal,59
Left AOrG anterior orbital gyrus,106,1,Supra Tentorial,4,Cortex,6,Cortex Left,18,Frontal Lobe,21,Left Frontal Lobe,34,Orbitofrontal,60
Right AnG angular gyrus,107,1,Supra Tentorial,4,Cortex,5,Cortex Right,19,Parietal Lobe,17,Right Parietal Lobe,25,Lateral Par,61
Left AnG angular gyrus,108,1,Supra Tentorial,4,Cortex,6,Cortex Left,19,Parietal Lobe,23,Left Parietal Lobe,44,Lateral Par,62
Right Calc calcarine cortex,109,1,Supra Tentorial,4,Cortex,5,Cortex Right,20,Occipital Lobe,18,Right Occipital Lobe,27,Medial Occ,63
Left Calc calcarine cortex,110,1,Supra Tentorial,4,Cortex,6,Cortex Left,20,Occipital Lobe,24,Left Occipital Lobe,46,Medial Occ,64
Right CO central operculum,113,1,Supra Tentorial,4,Cortex,5,Cortex Right,18,Frontal Lobe,15,Right Frontal Lobe,19,Opercular,65
Left CO central operculum,114,1,Supra Tentorial,4,Cortex,6,Cortex Left,18,Frontal Lobe,21,Left Frontal Lobe,38,Opercular,66
Right Cun cuneus,115,1,Supra Tentorial,4,Cortex,5,Cortex Right,20,Occipital Lobe,18,Right Occipital Lobe,27,Medial Occ,67
Left Cun cuneus,116,1,Supra Tentorial,4,Cortex,6,Cortex Left,20,Occipital Lobe,24,Left Occipital Lobe,46,Medial Occ,68
Right Ent entorhinal area,117,1,Supra Tentorial,4,Cortex,5,Cortex Right,21,Temporal Lobe,16,Right Temporal Lobe,20,Medial Temp,69
Left Ent entorhinal area,118,1,Supra Tentorial,4,Cortex,6,Cortex Left,21,Temporal Lobe,22,Left Temporal Lobe,39,Medial Temp,70
Right FO frontal operculum,119,1,Supra Tentorial,4,Cortex,5,Cortex Right,18,Frontal Lobe,15,Right Frontal Lobe,19,Opercular,71
Left FO frontal operculum,120,1,Supra Tentorial,4,Cortex,6,Cortex Left,18,Frontal Lobe,21,Left Frontal Lobe,38,Opercular,72
Right FRP frontal pole,121,1,Supra Tentorial,4,Cortex,5,Cortex Right,18,Frontal Lobe,15,Right Frontal Lobe,54,Frp,73
Left FRP frontal pole,122,1,Supra Tentorial,4,Cortex,6,Cortex Left,18,Frontal Lobe,21,Left Frontal Lobe,55,Frp,74
Right FuG fusiform gyrus,123,1,Supra Tentorial,4,Cortex,5,Cortex Right,21,Temporal Lobe,16,Right Temporal Lobe,20,Medial Temp,75
Left FuG fusiform gyrus,124,1,Supra Tentorial,4,Cortex,6,Cortex Left,21,Temporal Lobe,22,Left Temporal Lobe,39,Medial Temp,76
Right GRe gyrus rectus,125,1,Supra Tentorial,4,Cortex,5,Cortex Right,18,Frontal Lobe,15,Right Frontal Lobe,17,Vmpfc,77
Left GRe gyrus rectus,126,1,Supra Tentorial,4,Cortex,6,Cortex Left,18,Frontal Lobe,21,Left Frontal Lobe,36,Vmpfc,78
Right lOG inferior occipital gyrus,129,1,Supra Tentorial,4,Cortex,5,Cortex Right,20,Occipital Lobe,18,Right Occipital Lobe,28,Lateral Occ,79
Left lOG inferior occipital gyrus,130,1,Supra Tentorial,4,Cortex,6,Cortex Left,20,Occipital Lobe,24,Left Occipital Lobe,47,Lateral Occ,80
Right ITG inferior temporal gyrus,133,1,Supra Tentorial,4,Cortex,5,Cortex Right,21,Temporal Lobe,16,Right Temporal Lobe,21,Lateral Temp,81
Left ITG inferior temporal gyrus,134,1,Supra Tentorial,4,Cortex,6,Cortex Left,21,Temporal Lobe,22,Left Temporal Lobe,40,Lateral Temp,82
Right LiG lingual gyrus,135,1,Supra Tentorial,4,Cortex,5,Cortex Right,20,Occipital Lobe,18,Right Occipital Lobe,27,Medial Occ,83
Left LiG lingual gyrus,136,1,Supra Tentorial,4,Cortex,6,Cortex Left,20,Occipital Lobe,24,Left Occipital Lobe,46,Medial Occ,84
Right LOrG lateral orbital gyrus,137,1,Supra Tentorial,4,Cortex,5,Cortex Right,18,Frontal Lobe,15,Right Frontal Lobe,15,Orbitofrontal,85
Left LOrG lateral orbital gyrus,138,1,Supra Tentorial,4,Cortex,6,Cortex Left,18,Frontal Lobe,21,Left Frontal Lobe,34,Orbitofrontal,86
Right MCgG middle cingulate gyrus,139,1,Supra Tentorial,4,Cortex,5,Cortex Right,15,Cingulate,19,Right Cingulate,30,Middle,87
Left MCgG middle cingulate gyrus,140,1,Supra Tentorial,4,Cortex,6,Cortex Left,15,Cingulate,25,Left Cingulate,49,Middle,88
Right MFC medial frontal cortex,141,1,Supra Tentorial,4,Cortex,5,Cortex Right,18,Frontal Lobe,15,Right Frontal Lobe,17,Vmpfc,89
Left MFC medial frontal cortex,142,1,Supra Tentorial,4,Cortex,6,Cortex Left,18,Frontal Lobe,21,Left Frontal Lobe,36,Vmpfc,90
Right MFG middle frontal gyrus,143,1,Supra Tentorial,4,Cortex,5,Cortex Right,18,Frontal Lobe,15,Right Frontal Lobe,16,Dlpfc,91
Left MFG middle frontal gyrus,144,1,Supra Tentorial,4,Cortex,6,Cortex Left,18,Frontal Lobe,21,Left Frontal Lobe,35,Dlpfc,92
Right MOG middle occipital gyrus,145,1,Supra Tentorial,4,Cortex,5,Cortex Right,20,Occipital Lobe,18,Right Occipital Lobe,28,Lateral Occ,93
Left MOG middle occipital gyrus,146,1,Supra Tentorial,4,Cortex,6,Cortex Left,20,Occipital Lobe,24,Left Occipital Lobe,47,Lateral Occ,94
Right MOrG medial orbital gyrus,147,1,Supra Tentorial,4,Cortex,5,Cortex Right,18,Frontal Lobe,15,Right Frontal Lobe,15,Orbitofrontal,95
Left MOrG medial orbital gyrus,148,1,Supra Tentorial,4,Cortex,6,Cortex Left,18,Frontal Lobe,21,Left Frontal Lobe,34,Orbitofrontal,96
Right MPoG postcentral gyrus medial segment,149,1,Supra Tentorial,4,Cortex,5,Cortex Right,19,Parietal Lobe,17,Right Parietal Lobe,26,Sensory,97
Left MPoG postcentral gyrus medial segment,150,1,Supra Tentorial,4,Cortex,6,Cortex Left,19,Parietal Lobe,23,Left Parietal Lobe,45,Sensory,98
